id,nombre,descripcion,categoria,cantidad,precio,fechaVencimiento,estado,imagen,createdAt,updatedAt,categoria_id,numero_lote,cantidad_maxima,cantidad_minima,dias_reabastecimiento,punto_reorden,ubicacion_general,clave,clave2,unidad_medida_id
"PROD-00286","ADHESIVO TOPICO P/PIEL","ADHESIVO TOPICO P/PIEL","FCB",29,0,,"disponible","","2025-10-17T17:23:01.358Z","2025-11-04T04:00:28.853Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"001",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00287","AGUJA HIP. DESECH. 16G X 25 ( MORADA)","AGUJA HIP. DESECH. 16G X 25 ( MORADA)","FCB",2805,0,,"disponible",,"2025-10-17T17:23:01.489Z","2025-11-04T07:26:35.181Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"002",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00288","AGUJA HIP. DESECH. 27G X 13 MM ( GRIS )","AGUJA HIP. DESECH. 27G X 13 MM ( GRIS )","FCB",2620,0,,"disponible",,"2025-10-17T17:23:01.121Z","2025-11-04T04:37:15.458Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"003",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00289","AGUJA IMPLANTABLE GRIPPER 20 X 25MM","AGUJA IMPLANTABLE GRIPPER 20 X 25MM","FCB",46,0,,"disponible",,"2025-10-17T17:23:01.131Z","2025-11-04T02:44:25.558Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"004",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00001","ABATELENGUAS DE MADERA DESECHABLE","ABATELENGUAS DE MADERA DESECHABLE","DCB",4125,0,,"disponible",,"2025-10-17T17:23:01.505Z","2025-11-04T02:54:24.122Z","categoria_1760686583773_hhdq21tbn",,0,0,7,0,,"0040109",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00290","AGUJA IMPLANTABLE GRIPPER 22 X 20MM","AGUJA IMPLANTABLE GRIPPER 22 X 20MM","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.250Z","2025-10-17T17:23:01.249Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"005",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00291","AGUJA IMPLANTABLE GRIPPER 22 X 30 MM","AGUJA IMPLANTABLE GRIPPER 22 X 30 MM","FCB",384,0,,"disponible",,"2025-10-17T17:23:01.121Z","2025-11-03T07:18:12.258Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"006",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00292","AGUJA IMPLANTABLE GRIPPER 22G X 19","AGUJA IMPLANTABLE GRIPPER 22G X 19","FCB",108,0,,"disponible",,"2025-10-17T17:23:01.132Z","2025-11-04T02:44:25.558Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"007",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00293","AGUJA P/BIOPSIA DE TEJIDOS BLANDOS16G","AGUJA P/BIOPSIA DE TEJIDOS BLANDOS16G","FCB",14,0,,"disponible",,"2025-10-17T17:23:01.122Z","2025-10-17T17:23:01.122Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"008",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00294","AGUJA P/BIOPSIA DE TEJIDOS BLANDOS18G","AGUJA P/BIOPSIA DE TEJIDOS BLANDOS18G","FCB",10,0,,"disponible",,"2025-10-17T17:23:01.124Z","2025-10-17T17:23:01.124Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"009",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
